time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.06,-0.0013886527252593762,0.000834022410566857,10.004057747844378,0.2261008387641743,0.3191588959332039,0.0,-0.08220184493818494,0.05044418217732105,0.1295849223387246,1.106151284327297,-1.4452866515397347,0.0,500.81672936157213,381.0110868227127,407.0927455812685,496.5011312778001
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.12000000000000001,-0.01400113718179417,0.009220738658300776,10.013850453485347,0.459066937879931,0.5086191001595575,0.0,-0.35897952793859966,0.24799437455581652,0.1820349961172455,2.047216421134983,-2.7945300747919006,0.0,500.1788571557644,385.06054237644685,411.3502900159848,489.66599483759614
0.18,-0.04665859992919123,0.03327476720133642,10.023655577598133,0.7302630998691839,0.5932096302831766,0.0,-0.7393499518572562,0.5716006548466588,0.12683563657768335,2.931705130399199,-4.087105305332458,0.0,504.69019879266915,387.6744189681573,411.28149808648647,488.83850016739626
0.18,-0.04665859992919123,0.03327476720133642,10.023655577598133,0.7302630998691839,0.5932096302831766,0.0,-0.7393499518572562,0.5716006548466588,0.12683563657768335,2.931705130399199,-4.087105305332458,0.0,504.69019879266915,387.6744189681573,411.28149808648647,488.83850016739626
